COMPANY,STREET,CITY,STATE,PHONE,WEBSITE,TITLE1,NAME1,EMAIL1
House Matters Inc.,35 Woodlawn Ave,East Moriches,NY,(647) 287-8484,www.housemattersinc.com,Owner,Scott Pagano,
House To Home Inspections,PO Box 901,Carmichael,CA,(916) 548-5226,www.house-to-home-inspections.com,Principal,P. Tom,
Housing Authority Travis,502 E Highland Mall Blvd Ste 106,Austin,TX,(512) 292-6400,www.hatctx.com,Exec Dir,Craig Alter,
"Housing Trends, Inc.",4001B Wetherburn Way,Norcross,GA,(770) 449-1888,www.housingtrendsinc.com,CFO & Mgr-Ops,Mia Maiden,
Houston Housecheck,PO Box 12188,Houston,TX,(307) 299-6513,www.wytel.net,Owner,George Sontag,
Houston Team,3247 Camino De Los Coches Ste 205,Carlsbad,CA,(760) 436-6484,www.houstonteam.com,Owner,Julie Houston,
Howell & Associates Real Estate Appraisal Services,1426 Renwood Dr,Libby,MT,(406) 293-9517,www.montanaappraisals.com,Owner,Brad Kelsch,
Howell Realty Inc.,4266 Poplar Springs Dr,Meridian,MS,(601) 148-2185,www.century21hrihomes.com,Owner,Tom Coats,
Hoysler Associates Inc.,1400 Cannon Cir Ste 2,Faribault,MN,(507) 334-3934,www.hoysler.com,Pres,Stan Burmeister,
Hpm Property Management,1020 Manhattan Beach Blvd Ste 200,Manhattan Beach,CA,(213) 226-8714,www.hpmpropertymanagement.com,Pres,Erica Lockhart,
Huber Property Management Inc.,851 Sterling Pkwy,Lincoln,CA,(916) 645-7368,www.hpmrentals.com,Owner,Frank Huber,
Hudson Agency LLC,4935 Hwy 589,Sumrall,MS,(601) 758-3221,www.thehudsonagency.net,Owner,Brian Hudson,
Hudson Valley Home Inspections,38 Hamptonburgh Rd,Campbell Hall,NY,(845) 399-3983,www.hudsonvalleypropertyinspections.com,Owner,Elsie Ferris,
"Huey Real Estate, LLC",213 E Elm St,Graham,NC,,www.upwaterfront.com,Owner,William I. Huey,
Hughey-Neuman Inc.,532 N Westover Blvd,Albany,GA,(229) 943-0212,www.albanyhousehunting.com,Owner,Bill Hughey,
Hulen Mall,4800 S Hulen St Ste 250,Fort Worth,TX,(817) 294-1200,www.hulenmall.com,Mgr,Kevin Davies,
Hunnington Ridge Apartments,2400 Windsor Woods Ln,Norcross,GA,(972) 992-5723,www.huntingtonridgeapts.com,Mgr,Benji Alday,
Hunter Place Apartments,1050 W Griffith Way,Fresno,CA,(559) 226-2821,www.hunterplaceapts.com,Mgr,Fran Daniels,
Huntington Place Apartments,5805 73rd Ave N,Minneapolis,MN,,www.liveathp.com,Mgr,Susan Meyer,
Huntington Terrace North,18700 Florida St Ste 1,Huntington Beach,CA,(714) 848-6402,www.sunrisemgmt.com,Mgr,Kathy Moshenko,
Huskey Properties Inc.,259 Kunze Rd,Venice,FL,(941) 468-4348,www.huskeyproperties.com,Owner,Michael Huskey,
Hutton Real Estate,504 14th St SE,Decatur,AL,(256) 635-5428,www.houseofhutton.com,Owner,Don Hutton,
Hyde Park Estates Inc.,157 Scenic Lk Dr,Riverhead,NY,(845) 229-2567,www.thehydeparkestates.com,Owner,Thomas W. Broskie,
I Loan Real Estate Co.,11135 Weddington St Ste 129,North Hollywood,CA,(818) 753-5626,www.iloanco.com,Owner,Christen Layall,
ICPG,6200 Utsa Blvd Ste 200,San Antonio,TX,(210) 691-5300,www.icpgtax.com,Owner,A. Scott Johnson,
IHI Home Inspections,247 Arbor Hill Rd,Canton,GA,(404) 788-2581,www.ihihomeinspections.com,Mgr,David Lelak,
INA Black Realty LLC,135 W Grand Ave Ste B,Rainbow City,AL,(256) 644-8802,www.inablack.com,Owner,Ina Black,
INTEGRIS Realty Corporation,3300 NW Expwy,Oklahoma City,OK,(405) 949-3011,,,,
IPM Corporation of Brevard Inc.,PO Box 580,Arden,NC,(828) 650-6852,www.ipm-corp.com,CFO & VP-Ops,Robert Baer,
"IRT Live Oak Trace Louisiana, LLC",7615 Magnolia Beach Rd,Denham Springs,LA,(225) 791-5998,www.liveoaktraceapartments.com,,,
ITG Holdings LLC,13490 Old Livingston Rd,Naples,FL,(239) 514-4484,www.itgholdings.com,Founder & Principal,Daniel E. Carter,
ITP Management Services LLC,1911 N Decatur Rd NE,Atlanta,GA,(404) 472-4351,www.itpmanagementservice.net,Owner,Luis Caballeros,
Icon Commercial Interests LLC,3475 Piedmont Rd NE Ste 1950,Atlanta,GA,(404) 261-1211,www.iconcommercial.com,CEO,James F. Sanders,
Idaho First Realty Inc.,1009 Hwy 2 Ste C,Sandpoint,ID,(208) 263-8400,www.idahofirst.com,Owner,Glenn E. Ostrom,
Idyllwild Mountain Rentals,54250 N Cir Dr,Idyllwild,CA,(951) 659-2329,www.sparkyscabins.com,Owner,Richard Allert,
Impact Development Inc.,155 Polifly Rd Ste 201,Hackensack,NJ,(904) 230-7165,www.impact-development.com,Pres,Robert Pimienta,
Impact Executive Offices,1300 Ridenour Blvd NW Ste 100,Kennesaw,GA,(678) 819-3800,www.impactexecutiveoffices.com,Pres,Mark Berry,
Implicity Management,8603 N New Braun,San Antonio,TX,(210) 829-7770,www.implicitymanagement.com,Owner,Jody Marquez,
"Imwalle Properties, Inc.",115 S Market St Ste 190,San Jose,CA,(408) 287-3838,www.imwalledev.com,Pres,"Don Imwalle, Jr.",don@imwalledev.com
Independ Custom Realty LLP,429 S 16th St,Philadelphia,PA,(215) 732-7427,www.independentcustomrealty.com,Mgr,Steve Scendzik,
Indian Harbor Beach Soccer Club,2055 Hwy A1a Ste 102,Indian Harbor Beach,FL,(321) 255-1855,www.ihbsoccer.org,Mgr,Shirley Pate,
Indy Reo Real Estate,11650 Lantern Rd Ste 135,Fishers,IN,(317) 860-3600,www.indyreo.com,Coord-Transaction,Mark Graham,
Inez Apartments,104 E Monticello St,Brookhaven,MS,(601) 248-2599,www.theinez.com,Mgr,Salley Williford,
Infinity Property Management Inc.,15829 SW 1st St,Sherwood,OR,(503) 625-6555,www.infinitypropertymgmt.com,Mgr-Property,Mandy Kern,
Ingram Properties,603 Saint Clair Ave,Natchitoches,LA,(205) 967-0000,www.cecilingramproperties.com,Mgr,Chris Ingram,
Injury Prevention Partners,25762 Via Del Rey,San Juan Capistrano,CA,(949) 240-3804,www.injurypreventionpartners.net,Pres,Clyde S. Blackwelder,
Innov Investments LLC,1520 Brookhollow Dr Ste 31,Santa Ana,CA,(714) 259-8009,www.innovationsolutions.com,Owner,Lucia Proulx,
Innovative Student Housing,3000 Wilcrest Dr,Houston,TX,(281) 888-4884,www.innovativesh.com,Sr VP,Kevin Howe,
"Inside Realty, LLC",1877 Orchard Lk Rd Ste 204,Sylvan Lake,MI,,www.insiderealty.com,Office Mgr,Karen White,
Inside Tract,35423 Summerland Ave,Palm Desert,CA,(949) 733-0535,www.insidetract.com,Mgr,Dean Rathbun,
Insight Settlement Services,427 Lee Jackson Hwy,Staunton,VA,(540) 213-7075,www.insight4title.com,Mgr,Wanda Cunningham,
Insite Properties Inc.,8913 W Olympic Blvd Ste 205,Beverly Hills,CA,(310) 657-3245,www.insitepropertiesonline.com,Pres,Kary J. Bartmasser,
Insite Properties LLC,100 N Tryon St,Charlotte,NC,(704) 344-8086,www.insiteprops.com,Owner,Jay Blanton,
Integra Land Company,1525 International Pkwy Ste 20,Lake Mary,FL,(407) 833-3927,www.integralandcompany.com,Pres,David G. McDaniel,
International Clubs of America,210 Interstate N Pkwy SE,Atlanta,GA,(412) 596-3287,www.internationalcodeconsultants.com,Mgr,Don Surrena,
International Energy Network,825 Market St,Allen,TX,(972) 542-4436,www.ien-operator.com,CFO,Cole Patterson,
International Park,2701 S Coliseum Blvd,Fort Wayne,IN,(260) 426-5680,www.ipftwayne.com,Partner,Cathy R. Beere,
"Interstate Hotels & Resorts, Inc.",4501 N Fairfax Dr Ste 500,Arlington,VA,(703) 387-3100,www.interstatehotels.com,Chm,Jim  Abrahamson,Jim.Abrahamson@ihrco.com
